Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200600077367,3.0,0,0.0,,2.0,2.0,34.0,0.0,1.0,1.0,1.0,36.0,110.0,2.0,0.0,5.0,99.0
201400010437,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,80.0,1.0,0.0,1.0,0.0
200900030605,3.0,2076,,,3.0,2.0,63.0,240.0,0.0,1.0,1.0,140.0,10.0,1.0,0.0,1.0,99.0
201400028854,4.0,685,,,2.0,2.0,,,0.0,1.0,2.0,0.0,70.0,1.0,0.0,1.0,99.0
200800071601,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,2.0,0.0,1.0,0.0
201500025616,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
201500007304,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,65.0,2.0,0.0,1.0,99.0
201600035744,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
201600019952,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,89.0,1.0,0.0,1.0,99.0
201200031793,4.0,0,,,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201400031219,3.0,770,,,3.0,4.0,,,2.0,1.0,1.0,15.0,90.0,1.0,0.0,1.0,3.0
200800011776,4.0,1,0.0,A,2.0,2.0,,,3.0,1.0,0.0,28.0,65.0,1.0,5.0,1.0,0.0
200900038071,4.0,619,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,5.0,1.0,99.0
200700017917,1.0,86,0.0,,3.0,8.0,1.0,500.0,0.0,1.0,1.0,15.0,280.0,2.0,0.0,1.0,99.0
200800026695,2.0,104,0.0,,3.0,4.0,47.0,100.0,0.0,1.0,1.0,50.0,140.0,1.0,0.0,1.0,0.0
201400016573,6.0,0,,,1.0,0.0,,,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,99.0
200900066314,2.0,19,,,2.0,2.0,10.0,460.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
201500010366,3.0,0,,,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
200500014676,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,90.0,1.0,0.0,1.0,99.0
201100012491,3.0,15,,,2.0,2.0,5.0,200.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
200900017406,4.0,0,,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,1.0,0.0,1.0,99.0
201000049157,3.0,131,,,2.0,4.0,,,0.0,1.0,1.0,0.0,120.0,1.0,0.0,1.0,0.0
201600004209,9.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,99.0
